	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene1	big	small	0	52.16139468	28.45166982	-22.46449634	1.081986524	-20.76227	9.50E-96	3.27E-91
gene2	big	small	27.53508237	0	12.51594653	23.00330353	1.314401385	17.50097329	1.41E-68	2.43E-64
gene3	big	small	0	32.35541495	17.64840815	-20.606268	1.544246791	-13.34389562	1.29E-40	1.48E-36
gene4	big	small	33.94317127	0	15.42871421	23.05645502	1.806497386	12.76307134	2.64E-37	1.82E-33
gene5	big	small	0	70.19649205	38.28899567	-22.86396516	1.818697992	-12.57161181	3.02E-36	1.74E-32
gene6	big	small	53.46209508	0	24.30095231	23.88034743	1.905827496	12.53017258	5.11E-36	2.51E-32
gene7	big	small	0	76.29250925	41.61409596	-22.74226109	1.830938548	-12.4210947	2.01E-35	8.00E-32
gene8	big	small	0	133.0718029	72.58461976	-23.22687316	1.870435314	-12.41789705	2.09E-35	8.00E-32
gene9	big	small	0	203.1608664	110.815018	-24.34711037	1.991018683	-12.22846907	2.19E-34	7.54E-31
gene10	big	small	58.61474721	0	26.64306691	23.27737067	1.962425255	11.86153236	1.88E-32	5.87E-29
gene11	big	small	113.4034636	0	51.54702893	24.70445068	2.175078599	11.35795768	6.77E-30	1.94E-26
gene12	big	small	0	33.62836966	18.34274709	-21.79433446	2.036086746	-10.70403042	9.74E-27	2.40E-23
gene13	big	small	0	35.1927397	19.19603984	-21.9110054	2.097689835	-10.44530275	1.54E-25	3.54E-22
gene14	big	small	185.1290498	0	84.1495681	25.58205475	2.486628054	10.28784932	7.99E-25	1.72E-21
gene15	big	small	0	39.91759614	21.77323426	-22.07416109	2.148394943	-10.27472214	9.16E-25	1.86E-21
gene16	big	small	0	114.1747271	62.27712386	-21.63642549	2.13505368	-10.13390234	3.91E-24	7.48E-21
gene17	big	small	0	39.90919881	21.7686539	-22.0753319	2.184661883	-10.10469037	5.27E-24	9.55E-21
gene18	big	small	0	30.95428788	16.88415702	-21.72806376	2.626087816	-8.273928856	1.30E-16	1.14E-13
gene19	big	small	0	28.71725081	15.66395498	-21.62507213	2.621684398	-8.248541338	1.60E-16	1.35E-13
gene20	big	small	0.07745632	8.848752254	4.861799557	-4.955726803	1.182695256	-4.190197583	2.79E-05	0.011706909
gene21	big	small	0	19.36066468	10.56036255	-6.522476912	1.567195306	-4.161878794	3.16E-05	0.013098295
gene22	big	small	18.36785449	0	8.34902477	6.890698404	1.811628227	3.803594082	0.000142612	0.049119781
gene23	big	small	46.19587956	0.078442346	21.04091381	8.851425763	2.338960747	3.784341304	0.000154116	0.052041417
gene24	big	small	0.834538616	34.2717763	19.0730319	-5.785815726	1.528189566	-3.786058912	0.000153055	0.052041417
gene25	big	small	0.464737921	21.79594314	12.09994077	-4.776305989	1.266216939	-3.772107166	0.000161875	0.054130585
gene26	big	small	24.26277995	0.287831588	11.18553539	5.71222986	1.520360587	3.757154656	0.000171856	0.054930338
gene27	big	small	1.239301124	37.54645804	21.04320489	-4.525561872	1.204342599	-3.757703063	0.00017148	0.054930338
gene28	big	small	0.474945149	68.90274659	37.79920048	-6.769402574	1.802004551	-3.756595714	0.00017224	0.054930338
gene29	big	small	2.599070665	44.61530836	25.5170185	-3.906788318	1.039561407	-3.758112114	0.0001712	0.054930338
gene30	big	small	34.80860786	145.6287007	95.25593125	-2.104113984	0.559413229	-3.7612875	0.000169041	0.054930338
